ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
443392,4114346,3,3
443392,602093,2,5
443392,36715836,5,7
443392,602664,3,4
443392,601150,3,3
443392,4095579,3,4
443392,75488,3,3
443392,600665,3,4
443392,609197,5,8
443392,40488048,4,6
443392,601131,5,6
443392,602010,4,7
443392,4178975,2,3
443392,606199,4,6
443392,602068,6,7
443392,605453,3,4
443392,4300681,4,4
443392,37399544,3,6
443392,36676729,3,7
443392,36717182,3,9
443392,609200,6,9
443392,605468,3,8
443392,199771,3,3
443392,602104,3,7
443392,601136,5,5
443392,602006,4,7
443392,602673,3,9
443392,605475,3,5
443392,40489473,3,3
443392,609235,6,7
443392,602065,3,5
443392,40391739,4,4
443392,37116448,3,6
443392,603015,5,6
443392,602698,3,7
443392,4292379,5,8
443392,602158,4,6
443392,609201,6,9
443392,609202,5,8
443392,36715858,3,7
443392,4224745,5,8
443392,4246016,3,4
443392,602071,3,7
443392,600832,4,5
35200783,35200783,0,0
197508,197508,0,0
443392,4291454,4,7
197508,602001,3,3
443392,618683,3,6
443392,601127,4,6
443392,4177234,2,3
443392,36716485,4,5
443392,601149,5,6
443392,40493008,4,8
443392,40489405,2,5
443392,608924,4,5
443392,605815,4,7
443392,80045,3,5
443392,4246133,3,4
443392,602693,3,4
197508,602133,3,3
443392,36717566,4,6
443392,609044,4,5
443392,4247823,4,6
443392,36716502,5,10
197508,609240,2,3
443392,36717179,4,8
443392,601126,5,5
443392,602670,4,9
443392,1246409,4,7
443392,1244774,2,2
443392,40391809,2,2
443392,1244786,2,2
443392,36713547,3,5
443392,40486955,4,5
443392,1244805,3,3
443392,1245904,5,8
443392,1244472,3,6
443392,1246716,4,5
443392,1246600,5,7
443392,42538692,4,5
443392,1244174,5,9
443392,37166329,2,4
443392,1244405,3,4
443392,1244453,4,8
443392,37162352,4,6
443392,1244769,2,2
443392,1245470,2,6
443392,1244746,2,2
443392,37166658,5,6
443392,1246648,6,7
443392,1245879,4,8
443392,1244812,3,3
443392,1244785,2,2
443392,1245905,5,8
443392,1245472,4,4
443392,40493017,5,6
443392,1246406,5,7
443392,36717047,3,5
443392,1244400,5,6
443392,435207,3,7
443392,37166597,6,7
443392,1244811,3,3
443392,40492018,4,7
443392,609180,5,7
443392,4112759,3,4
443392,1244957,2,2
443392,1244801,2,2
443392,1244285,4,8
443392,1244771,3,3
443392,36713671,4,6
443392,1246703,5,7
197508,36713671,2,2
443392,1246658,4,7
443392,37163177,4,6
443392,1244287,4,8
443392,4110731,3,3
443392,1246772,5,7
443392,4300561,4,4
443392,4112964,3,5
443392,1244945,1,1
443392,1244973,1,1
443392,1244529,5,9
443392,1246715,3,5
443392,1244449,5,9
443392,1244810,3,3
443392,1244121,5,7
443392,1244286,4,8
443392,1244173,5,9
443392,1245903,5,8
443392,1244583,2,4
443392,1244169,4,7
443392,1244793,3,3
443392,1244527,4,7
443392,37016118,5,6
443392,1244587,4,6
443392,1244549,4,7
443392,1244411,2,2
443392,1244541,4,7
443392,37162570,5,6
443392,1244776,3,3
443392,1244342,3,5
443392,1246244,6,7
443392,4095441,3,4
443392,1244791,3,3
443392,1244545,4,8
443392,1244634,5,8
443392,765362,4,5
443392,1244960,3,3
443392,1246717,4,6
443392,1244907,3,3
443392,1244407,3,5
443392,3655878,3,6
443392,1244878,1,1
443392,37166647,3,8
197508,1246703,3,3
443392,618963,4,8
443392,40490991,5,6
443392,37110787,4,6
443392,4110432,3,7
443392,4116242,4,6
443392,37166728,5,7
443392,37162740,7,9
443392,37165277,1,1
443392,4216139,2,2
443392,37165826,4,10
443392,37109901,4,7
443392,36715966,4,6
443392,4133189,2,6
443392,36715808,4,6
443392,609241,5,6
443392,40490459,3,3
443392,45773564,5,9
443392,37110402,5,5
443392,37166626,5,6
443392,37167588,3,4
443392,37166363,4,8
443392,193429,2,5
443392,4116240,2,7
443392,606404,3,4
443392,36716855,2,4
443392,764229,2,3
443392,258981,3,4
443392,4309817,4,7
443392,37017243,2,7
443392,37397555,4,6
443392,37166326,5,6
443392,4089530,5,5
443392,37165803,3,5
443392,4169288,4,7
443392,4188975,4,5
443392,37166551,3,9
443392,37166283,4,5
443392,4289677,3,4
443392,4110167,4,4
443392,45771284,2,2
443392,37166323,3,4
443392,37165786,4,6
443392,37167521,3,7
443392,602695,5,8
443392,37166669,4,5
443392,609240,4,7
443392,618675,5,7
443392,4030667,3,5
443392,4112854,3,3
443392,4082460,4,4
443392,4180788,6,7
443392,4003029,3,4
443392,609232,7,8
